Hospital Number,State,Hospname,Wait Time,Establishment ID,Parent Id,State Average wait time,Unit,Medicare Prov Number,Address Line 1,Address Line 2,Latitude,Longitude,Australia,Full Address,Remoteness area (code),Remoteness area,Number of available beds,2012-13 Peer Group code,2012-13 Peer Group Name,Admissions reported,Emergency department,Elective surgery reported,Outpatient clinics,2011-12 Peer Group code,2011-12 Peer Group Name,Hospital Group
47,NSW,Blue Mountains,21,1175D2040,,N,Hospital,0010730T,Lot 3 Woodlands RD,Katoomba 2780,-33.704419,150.320766,Australia,Lot 3 Woodlands RD Katoomba 2780 NSW Australia,0,Major Cities,92.9,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,C2,Medium (group 2),SM
23,NSW,Bowral,23,1171N2190,,N,Hospital,0010690H,Lot 3 Mona RD,Bowral 2576,-34.484995,150.424612,Australia,Lot 3 Mona RD Bowral 2576 NSW Australia,1,Inner Regional,70.8,M,Medium public acute,Yes,Yes,Yes,No,C1,Medium (group 1),LG
218,NSW,Broken Hill,26.25,1186S2010,,N,Hospital,0010830K,176 Thomas ST,Broken Hill 2880,-31.947395,141.456696,Australia,176 Thomas ST Broken Hill 2880 NSW Australia,2,Outer Regional,95.8,M,Medium public acute,Yes,Yes,Yes,No,C1,Medium (group 1),LG
33,NSW,Bulli,15,1173P2020,,N,Hospital,0010850H,33A Hospital RD,Bulli 2516,-34.33617,150.906448,Australia,33A Hospital RD Bulli 2516 NSW Australia,0,Major Cities,56.3,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,D2,Small non-acute,SM
98,NSW,Calvary Mater Newcastle,19.5,1180Q2110,,N,Hospital,0011870W,4 Edith ST,Waratah 2298,-32.902822,151.720595,Australia,4 Edith ST Waratah 2298 NSW Australia,0,Major Cities,178,L,Large public acute,Yes,Yes,Yes,Yes,B1,Large Major cities,LG
17,NSW,Camden,11.75,1171D2050,,N,Hospital,0010870B,65 Menangle RD,Camden 2570,-34.061754,150.694805,Australia,65 Menangle RD Camden 2570 NSW Australia,0,Major Cities,56.7,S2,Other small public acute,Yes,Yes,No,No,D2,Small non-acute,SM
20,NSW,Campbelltown,21,1171D2150,,N,Hospital,0012750W,1 Therry RD,Campbelltown 2560,-34.079931,150.802561,Australia,1 Therry RD Campbelltown 2560 NSW Australia,0,Major Cities,334.7,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
11,NSW,Canterbury,21.25,1170A2020,,N,Hospital,0010090J,575 Canterbury RD,Campsie 2194,-33.918168,151.104594,Australia,575 Canterbury RD Campsie 2194 NSW Australia,0,Major Cities,172.4,M,Medium public acute,Yes,Yes,Yes,Yes,B1,Large Major cities,LG
108,NSW,Casino,20.5,1181H2060,,N,Hospital,0010920J,1 Hotham ST,Casino 2470,-28.84024,153.040131,Australia,1 Hotham ST Casino 2470 NSW Australia,1,Inner Regional,29.1,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,C2,Medium (group 2),SM
91,NSW,Cessnock,28.25,1180Q2020,,N,Hospital,0010940F,Lot 1 View ST,Cessnock 2325,-32.827461,151.351593,Australia,Lot 1 View ST Cessnock 2325 NSW Australia,1,Inner Regional,50,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,C2,Medium (group 2),SM
5,NSW,Children's Hospital Westmead,32.75,1163A2070,,N,Hospital,0010300T,178 Hawkesbury RD,Westmead 2145,-33.8027134,150.9920812,Australia,178 Hawkesbury RD Westmead 2145 NSW Australia,0,Major Cities,280.8,W3,Childrens,Yes,Yes,Yes,Yes,A2,Specialist womens and childrens,WC
122,NSW,Coffs Harbour,14.75,1182H2080,,N,Hospital,0010960A,345 Pacific HWY,Coffs Harbour 2450,-30.3149682,153.0921162,Australia,345 Pacific HWY Coffs Harbour 2450 NSW Australia,1,Inner Regional,254,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
14,NSW,Concord,19.5,1170A2370,,N,Hospital,0012720A,1a Hospital RD,Concord West 2138,-33.837299,151.090942,Australia,1a Hospital RD Concord West 2138 NSW Australia,0,Major Cities,663.7,PR,Principal referral,Yes,Yes,Yes,Yes,A1,Principal referral,PR
147,NSW,Deniliquin,3.75,1184M2070,,N,Hospital,0011150F,411 Charlotte ST,Deniliquin 2710,-35.5243441,144.9623537,Australia,411 Charlotte ST Deniliquin 2710 NSW Australia,1,Inner Regional,44.2,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,No,C2,Medium (group 2),SM
183,NSW,Dubbo,17.75,1185K2110,,N,Hospital,0011170A,1 Myall ST,Dubbo 2830,-32.241249,148.615845,Australia,1 Myall ST Dubbo 2830 NSW Australia,1,Inner Regional,159.3,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
18,NSW,Fairfield,19,1171D2060,,N,Hospital,0010110Y,360 Prairie Vale RD,Prairiewood 2176,-33.8599379,150.902548,Australia,360 Prairie Vale RD Prairiewood 2176 NSW Australia,0,Major Cities,208,M,Medium public acute,Yes,Yes,Yes,Yes,B1,Large Major cities,LG
63,NSW,Gosford,26.75,1177B2020,,N,Hospital,0011270X,76 Holden ST,Gosford 2250,-33.421392,151.340527,Australia,76 Holden ST Gosford 2250 NSW Australia,0,Major Cities,478.3,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
110,NSW,Grafton,23.75,1181H2100,,N,Hospital,0011300H,174 Arthur ST,Grafton 2460,-29.67573,152.941757,Australia,174 Arthur ST Grafton 2460 NSW Australia,1,Inner Regional,97.3,M,Medium public acute,Yes,Yes,Yes,Yes,B2,Large regional and remote,LG
161,NSW,Griffith,15.5,1184R2050,,N,Hospital,0011340Y,1 Noorebar AV,Griffith 2680,-34.283203,146.044917,Australia,1 Noorebar AV Griffith 2680 NSW Australia,2,Outer Regional,88.3,L,Large public acute,Yes,Yes,Yes,No,C1,Medium (group 1),LG
72,NSW,Gunnedah,17.25,1180J2060,,N,Hospital,0011370T,2 Marquis ST,Gunnedah 2380,-30.983231,150.251465,Australia,2 Marquis ST Gunnedah 2380 NSW Australia,2,Outer Regional,33.9,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,D1,Small regional acute,SM
50,NSW,Hawkesbury,17,1175D2290,,N,Hospital,0017140B,Cnr Macquarie and Day St,Windsor 2756,-33.611009,150.817898,Australia,Cnr Macquarie and Day St Windsor 2756 NSW Australia,0,Major Cities,97,M,Medium public acute,Yes,Yes,Yes,Yes,B1,Large Major cities,LG
57,NSW,Hornsby and Ku-Ring-Gai,13,1176B2100,,N,Hospital,0010140T,36-76 Palmerston RD,Hornsby 2077,-33.70163,151.112732,Australia,36-76 Palmerston RD Hornsby 2077 NSW Australia,0,Major Cities,252.7,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
74,NSW,Inverell,18,1180J2080,,N,Hospital,0011460L,41-61 Swanbrook RD,Inverell 2360,-29.7692863,151.1309494,Australia,41-61 Swanbrook RD Inverell 2360 NSW Australia,2,Outer Regional,33.8,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,C2,Medium (group 2),SM
104,NSW,John Hunter,21,1180Q2300,,N,Hospital,0012790J,156 Kookaburra CCT,New Lambton Heights 2305,-32.922992,151.693001,Australia,156 Kookaburra CCT New Lambton Heights 2305 NSW Australia,0,Major Cities,761.3,PR,Principal referral,Yes,Yes,Yes,Yes,A1,Principal referral,PR
93,NSW,Kurri Kurri,11.5,1180Q2050,,N,Hospital,0011540L,432 Lang ST,Kurri Kurri 2327,-32.8239861,151.4627599,Australia,432 Lang ST Kurri Kurri 2327 NSW Australia,0,Major Cities,42.3,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,D2,Small non-acute,SM
112,NSW,Lismore,31,1181H2140,,N,Hospital,0011590B,60 Uralba ST,Lismore 2480,-28.80989,153.289049,Australia,60 Uralba ST Lismore 2480 NSW Australia,1,Inner Regional,249,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
53,NSW,Lithgow,9,1175L2130,,N,Hospital,0011600W,2 Col Drewe DR,Lithgow 2790,-33.49873,150.12738,Australia,2 Col Drewe DR Lithgow 2790 NSW Australia,1,Inner Regional,36.6,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,C2,Medium (group 2),SM
19,NSW,Liverpool,20.5,1171D2090,,N,Hospital,0010200X,Lot 2 Elizabeth ST,Liverpool 2170,-33.920338,150.925287,Australia,Lot 2 Elizabeth ST Liverpool 2170 NSW Australia,0,Major Cities,738.6,PR,Principal referral,Yes,Yes,Yes,Yes,A1,Principal referral,PR
125,NSW,Macksville,23,1182H2160,,N,Hospital,0011820F,14-22 Boundary ST,Macksville 2447,-30.713831,152.920273,Australia,14-22 Boundary ST Macksville 2447 NSW Australia,2,Outer Regional,46.2,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,No,C2,Medium (group 2),SM
114,NSW,Maclean,25.5,1181H2170,,N,Hospital,0011630K,21 Union ST,Maclean 2463,-29.453819,153.201614,Australia,21 Union ST Maclean 2463 NSW Australia,1,Inner Regional,37.2,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,C2,Medium (group 2),SM
124,NSW,Macleay Valley - Kempsey,14,1182H2120,,N,Hospital,0011640J,119 River ST,Kempsey 2440,-31.0688366,152.8200594,Australia,119 River ST Kempsey 2440 NSW Australia,1,Inner Regional,68.1,M,Medium public acute,Yes,Yes,Yes,No,C1,Medium (group 1),LG
94,NSW,Maitland,32,1180Q2060,,N,Hospital,0011650H,550 High ST,Maitland 2320,-32.7276929,151.545969,Australia,550 High ST Maitland 2320 NSW Australia,0,Major Cities,194,M,Medium public acute,Yes,Yes,Yes,Yes,B1,Large Major cities,LG
58,NSW,Manly,13.5,1176B2120,,N,Hospital,0010220T,150 Darley RD,Manly 2095,-33.80278,151.289677,Australia,150 Darley RD Manly 2095 NSW Australia,0,Major Cities,155,L,Large public acute,Yes,Yes,Yes,Yes,B1,Large Major cities,LG
89,NSW,Manning,26,1180J2250,,N,Hospital,0011680A,26 York ST,Taree 2430,-31.910299,152.454941,Australia,26 York ST Taree 2430 NSW Australia,1,Inner Regional,167.3,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
36,NSW,Milton and Ulladulla,19.25,1173P2050,,N,Hospital,0011740F,104 Princes HWY,Milton 2538,-35.317242,150.438934,Australia,104 Princes HWY Milton 2538 NSW Australia,1,Inner Regional,25.3,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,C2,Medium (group 2),SM
59,NSW,Mona Vale,14.75,1176B2140,,N,Hospital,0012470B,18 Coronation ST,Mona Vale 2103,-33.6861232,151.3078254,Australia,18 Coronation ST Mona Vale 2103 NSW Australia,0,Major Cities,162.4,L,Large public acute,Yes,Yes,Yes,Yes,B1,Large Major cities,LG
76,NSW,Moree,2.5,1180J2120,,N,Hospital,0011760A,35 Alice ST,Moree 2400,-29.471277,149.834864,Australia,35 Alice ST Moree 2400 NSW Australia,2,Outer Regional,39.9,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,C2,Medium (group 2),SM
136,NSW,Moruya,26,1183N2110,,N,Hospital,0011780X,2-10 River ST,Moruya 2537,-35.90406,150.070435,Australia,2-10 River ST Moruya 2537 NSW Australia,1,Inner Regional,59.9,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,C1,Medium (group 1),SM
45,NSW,Mount Druitt,30.5,1174D2180,,N,Hospital,0012780K,75 Railway ST,Mount Druitt 2770,-33.7651472,150.8313111,Australia,75 Railway ST Mount Druitt 2770 NSW Australia,0,Major Cities,133.5,M,Medium public acute,Yes,Yes,Yes,No,B1,Large Major cities,LG
158,NSW,Murrumburrah - Harden,14.25,1184N2130,,N,Hospital,0011810H,54 Swift ST,Harden 2587,,,Australia,54 Swift ST Harden 2587 NSW Australia,1,Inner Regional,13,S2,Other small public acute,Yes,No,No,No,D1,Small regional acute,SM
96,NSW,Muswellbrook,15,1180Q2090,,N,Hospital,0010800W,36 Brentwood ST,Muswellbrook 2333,-32.265314,150.900611,Australia,36 Brentwood ST Muswellbrook 2333 NSW Australia,1,Inner Regional,47,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,C2,Medium (group 2),SM
77,NSW,Narrabri,8.25,1180J2130,,N,Hospital,0011830B,11 Cameron ST,Narrabri 2390,-30.326931,149.7785,Australia,11 Cameron ST Narrabri 2390 NSW Australia,2,Outer Regional,29.7,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,D1,Small regional acute,SM
48,NSW,Nepean,15.5,1175D2100,,N,Hospital,0011860X,256 Derby ST,Kingswood 2747,-33.760807,150.711684,Australia,256 Derby ST Kingswood 2747 NSW Australia,0,Major Cities,522,PR,Principal referral,Yes,Yes,Yes,Yes,A1,Principal referral,PR
208,NSW,Orange Health Service,14,1185L2160,,N,Hospital,0011920A,1502 Forest RD,Orange 2800,-33.3209,149.095047,Australia,1502 Forest RD Orange 2800 NSW Australia,1,Inner Regional,318.8,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
127,NSW,Port Macquarie,17.75,1182H2720,,N,Hospital,,1-31 Wrights RD,Port Macquarie 2444,-31.452821,152.875936,Australia,1-31 Wrights RD Port Macquarie 2444 NSW Australia,1,Inner Regional,169.6,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
29,NSW,Prince of Wales,19.75,1172C2080,,N,Hospital,0010260H,147 Barker ST,Randwick 2031,-33.919478,151.225835,Australia,147 Barker ST Randwick 2031 NSW Australia,0,Major Cities,512.7,PR,Principal referral,Yes,Yes,Yes,Yes,A1,Principal referral,PR
138,NSW,Queanbeyan,26.75,1183N2150,,N,Hospital,0011980K,16 Erin ST,Queanbeyan 2620,-35.345989,149.233063,Australia,16 Erin ST Queanbeyan 2620 NSW Australia,0,Major Cities,45.2,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,No,C2,Medium (group 2),SM
60,NSW,Royal North Shore,20.75,1176B2180,,N,Hospital,0010310L,1 Reserve RD,St Leonards 2065,-33.8139905,151.1854793,Australia,1 Reserve RD St Leonards 2065 NSW Australia,0,Major Cities,657.6,PR,Principal referral,Yes,Yes,Yes,Yes,A1,Principal referral,PR
12,NSW,Royal Prince Alfred,31.25,1170A2080,,N,Hospital,0010320k,50 Missenden RD,Camperdown 2050,-33.8916011,151.1827667,Australia,50 Missenden RD Camperdown 2050 NSW Australia,0,Major Cities,753.2,PR,Principal referral,Yes,Yes,Yes,Yes,A1,Principal referral,PR
62,NSW,Ryde,13.5,1176B2240,,N,Hospital,0010390X,1 Denistone RD,Eastwood 2122,-33.796211,151.090103,Australia,1 Denistone RD Eastwood 2122 NSW Australia,0,Major Cities,142.1,M,Medium public acute,Yes,Yes,Yes,Yes,B1,Large Major cities,LG
40,NSW,Shellharbour,20.25,1173P2110,,N,Hospital,0010060T,15-17 Madigan BVD,Mount Warrigal 2528,-34.557991,150.842468,Australia,15-17 Madigan BVD Mount Warrigal 2528 NSW Australia,0,Major Cities,165.5,M,Medium public acute,Yes,Yes,Yes,Yes,B1,Large Major cities,LG
38,NSW,Shoalhaven Memorial,25.75,1173P2070,,N,Hospital,0012060Y,2 Shoalhaven ST,Nowra 2541,-34.8817447,150.5941701,Australia,2 Shoalhaven ST Nowra 2541 NSW Australia,1,Inner Regional,155.1,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
101,NSW,Singleton,23.25,1180Q2170,,N,Hospital,0012070X,Lot 20 Dangar RD,Singleton 2330,-32.565708,151.183594,Australia,Lot 20 Dangar RD Singleton 2330 NSW Australia,1,Inner Regional,47.4,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,C2,Medium (group 2),SM
30,NSW,St George,23.75,1172C2130,,N,Hospital,0010410J,28 Gray ST,Kogarah 2017,-33.967789,151.133209,Australia,28 Gray ST Kogarah 2017 NSW Australia,0,Major Cities,605.7,PR,Principal referral,Yes,Yes,Yes,Yes,A1,Principal referral,PR
8,NSW,St Vincent's Darlinghurst,10.75,1169A2120,,N,Hospital,0010460Y,390 Victoria ST,Darlinghurst 2010,-33.879101,151.221786,Australia,390 Victoria ST Darlinghurst 2010 NSW Australia,0,Major Cities,363.8,PR,Principal referral,Yes,Yes,Yes,Yes,A1,Principal referral,PR
31,NSW,Sutherland,24.5,1172C2140,,N,Hospital,0010480W,430 Kingsway,Caringbah 2229,-34.0367797,151.1167383,Australia,430 Kingsway Caringbah 2229 NSW Australia,0,Major Cities,318.8,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
6,NSW,Sydney Children's,22.5,1163C2380,,N,Hospital,0010260H,1 High ST,Randwick 2031,-33.902328,151.255814,Australia,1 High ST Randwick 2031 NSW Australia,0,Major Cities,148.5,W3,Childrens,Yes,Yes,Yes,Yes,A2,Specialist womens and childrens,WC
24,NSW,Sydney/ Sydney Eye,19.25,1172A2330,,N,Hospital,0010500H,8 Macquarie ST,Sydney 2000,-33.8672715,151.2123468,Australia,8 Macquarie ST Sydney 2000 NSW Australia,0,Major Cities,66.8,M,Medium public acute,Yes,Yes,Yes,No,C1,Medium (group 1),LG
80,NSW,Tamworth,22.25,1180J2160,,N,Hospital,0012090T,31 Dean ST,North Tamworth 2340,-31.076974,150.92263,Australia,31 Dean ST North Tamworth 2340 NSW Australia,1,Inner Regional,246,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
118,NSW,The Tweed Hospital,11.75,1181H2230,,N,Hospital,0012690L,14 Powell ST,Tweed Heads 2485,-28.175131,153.544449,Australia,14 Powell ST Tweed Heads 2485 NSW Australia,0,Major Cities,229.8,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
171,NSW,Tumut,2.25,1184R2180,,N,Hospital,0012190K,105 Simpson ST,Tumut 2720,-35.3061631,148.219804,Australia,105 Simpson ST Tumut 2720 NSW Australia,1,Inner Regional,31.5,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,No,D1,Small regional acute,SM
172,NSW,Wagga Wagga,13.75,1184R2190,,N,Hospital,0012250T,260 Edward ST,Wagga Wagga 2650,-35.117779,147.358414,Australia,260 Edward ST Wagga Wagga 2650 NSW Australia,1,Inner Regional,238.3,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
46,NSW,Westmead,25.25,1174D2240,,N,Hospital,0012760T,166 Darcy RD,Westmead 2145,-33.803524,150.978219,Australia,166 Darcy RD Westmead 2145 NSW Australia,0,Major Cities,788.3,PR,Principal referral,Yes,Yes,Yes,Yes,A1,Principal referral,PR
39,NSW,Wollongong,27,1173P2080,,N,Hospital,0012400W,348 Crown ST,Wollongong 2500,-34.42474,150.883499,Australia,348 Crown ST Wollongong 2500 NSW Australia,0,Major Cities,484.6,PR,Principal referral,Yes,Yes,Yes,Yes,A1,Principal referral,PR
66,NSW,Wyong,22,1177B2060,,N,Hospital,0012770L,Pacific HWY,Kanwal 2259,-33.260397,151.484401,Australia,Pacific HWY Kanwal 2259 NSW Australia,0,Major Cities,320.7,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
159,NSW,Young,7.5,1184N2180,,N,Hospital,0012430K,68 Allanan ST,Young 2594,-34.320709,148.288254,Australia,68 Allanan ST Young 2594 NSW Australia,1,Inner Regional,28,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,No,C2,Medium (group 2),SM
230,NT,Alice Springs Hospital,35,717100072,,Y,Hospital,,Gap RD,Alice Springs 870,-23.704875,133.880189,Australia,Gap RD Alice Springs 870 NT Australia,3,Remote,183,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
233,NT,Gove Hospital,35,717100075,,Y,Hospital,,Mathew Flinders WAY,Nhulunbuy 880,-12.186582,136.78085,Australia,Mathew Flinders WAY Nhulunbuy 880 NT Australia,4,Very remote,34,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,D3,Small remote acute,SM
232,NT,Katherine Hospital,35,717100074,,Y,Hospital,,Gorge RD,Katherine 850,-14.43906,132.276915,Australia,Gorge RD Katherine 850 NT Australia,3,Remote,60,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,D3,Small remote acute,SM
229,NT,Royal Darwin Hospital,35,717100071,,Y,Hospital,,Rocklands DV,Tiwi 810,-19.718396,138.064108,Australia,Rocklands DV Tiwi 810 NT Australia,2,Outer Regional,367,PR,Principal referral,Yes,Yes,Yes,Yes,A1,Principal referral,PR
231,NT,Tennant Creek Hospital,35,717100073,,Y,Hospital,,Schmidt ST,Tennant Creek 860,-19.643612,134.189067,Australia,Schmidt ST Tennant Creek 860 NT Australia,4,Very remote,20,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,D3,Small remote acute,SM
304,QLD,ALPHA HOSPITAL,,310000131,,Y,Hospital,,Gordon Street,Alpha 4724,-23.654364,146.634624,Australia,Gordon Street Alpha 4724 QLD Australia,4,Very remote,5,VS,Very small public,Yes,No,No,No,G,Un-peered and other,SM
317,QLD,ARAMAC HOSPITAL,,310000151,,Y,Hospital,,Lodge Street,Aramac 4726,,,Australia,Lodge Street Aramac 4726 QLD Australia,4,Very remote,0,OT,Outpatient hospital,No,No,No,No,G,Un-peered and other,SP
344,QLD,ATHERTON HOSPITAL,,310000211,,Y,Hospital,,Corner of Louise and Jack Streets,Atherton 4883,,,Australia,Corner of Louise and Jack Streets Atherton 4883 QLD Australia,2,Outer Regional,44,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,No,C2,Medium (group 2),SM
291,QLD,AUGATHELLA HOSPITAL,,310000111,,Y,Hospital,,Cavanagh Street,Augathella 4477,-25.795384,146.58937,Australia,Cavanagh Street Augathella 4477 QLD Australia,4,Very remote,6,VS,Very small public,Yes,No,No,No,G,Un-peered and other,SM
363,QLD,AURUKUN PRIMARY HEALTH CARE CENTRE,,310000230,,Y,Hospital,,Kang Kang Road,Aurukun 4871,-13.354703,141.724802,Australia,Kang Kang Road Aurukun 4871 QLD Australia,4,Very remote,1,OT,Outpatient hospital,Yes,No,No,No,G,Un-peered and other,SP
335,QLD,AYR HOSPITAL,,310000191,,Y,Hospital,,2 Chippendale Street,Ayr 4807,,,Australia,2 Chippendale Street Ayr 4807 QLD Australia,2,Outer Regional,32,S1,Small public acute with surgery/obstetrics,Yes,No,No,No,D1,Small regional acute,SM
345,QLD,BABINDA HOSPITAL,,310000212,,Y,Hospital,,128 Munro Street,Babinda 4861,-17.3428,145.91893,Australia,128 Munro Street Babinda 4861 QLD Australia,2,Outer Regional,22,S2,Other small public acute,Yes,No,No,No,D2,Small non-acute,SM
400,QLD,BAILLIE HENDERSON HOSPITAL,,340000701,,Y,Hospital,,Corner of Hogg and Tor Streets,Toowoomba 4350,,,Australia,Corner of Hogg and Tor Streets Toowoomba 4350 QLD Australia,1,Inner Regional,180,Ps,Psychiatric public,Yes,No,No,No,F,Psychiatric,PS
346,QLD,BAMAGA HOSPITAL,,310000213,,Y,Hospital,,Sagaukaz Street,Bamaga 4876,,,Australia,Sagaukaz Street Bamaga 4876 QLD Australia,4,Very remote,10,S2,Other small public acute,Yes,No,No,No,D2,Small non-acute,SM
305,QLD,BARALABA HOSPITAL,,310000132,,Y,Hospital,,Stopford Street,Baralaba 4702,,,Australia,Stopford Street Baralaba 4702 QLD Australia,2,Outer Regional,5,VS,Very small public,Yes,No,No,No,G,Un-peered and other,SM
318,QLD,BARCALDINE HOSPITAL,,310000152,,Y,Hospital,,Oak Street,Barcaldine 4725,,,Australia,Oak Street Barcaldine 4725 QLD Australia,4,Very remote,12,S2,Other small public acute,Yes,No,No,No,D2,Small non-acute,SM
249,QLD,BEAUDESERT HOSPITAL,,310000041,,Y,Hospital,,64 Tina Street,Beaudesert 4285,-27.98568,153.002304,Australia,64 Tina Street Beaudesert 4285 QLD Australia,1,Inner Regional,22,S2,Other small public acute,Yes,No,Yes,No,D2,Small non-acute,SM
