MHid,State,Hospname,Wait Time,Establishment ID,Parent Id,Use Default wait time,Stage Average Wait Time,Unit,Medicare Prov Number,Address Line 1,Address Line 2,Latitude,Longitude,Australia,Full Address,Remoteness area (code),Remoteness area,Number of available beds,2012-13 Peer Group code,2012-13 Peer Group Name,Admissions reported,Emergency department,Elective surgery reported,Outpatient clinics,2011-12 Peer Group code,2011-12 Peer Group Name,Hospital Group
15,NSW,RPAH Institute of Rheumatology & Orthopaedics,,1170A2390,,Y,19,Hospital,,57-59 Missenden RD,Camperdown 2050,-33.888378,151.180435,Australia,57-59 Missenden RD Camperdown 2050 NSW Australia,0,Major Cities,24.6,O3,Other public acute specialised,Yes,No,Yes,No,C2,Medium (group 2),SP
16,NSW,Karitane Mothercraft Society,,1171C2030,,Y,19,Hospital,0010150L,53-65 Mitchell ST,Carramar 2163,-33.880715,150.965056,Australia,53-65 Mitchell ST Carramar 2163 NSW Australia,0,Major Cities,18.5,O1,Early parenting centres,Yes,No,No,No,E5,Mothercraft,WC
17,NSW,Camden,12,1171D2050,,N,19,Hospital,0010870B,65 Menangle RD,Camden 2570,-34.061754,150.694805,Australia,65 Menangle RD Camden 2570 NSW Australia,0,Major Cities,56.7,S2,Other small public acute,Yes,Yes,No,No,D2,Small non-acute,SM
18,NSW,Fairfield,19,1171D2060,,N,19,Hospital,0010110Y,360 Prairie Vale RD,Prairiewood 2176,-33.8599379,150.902548,Australia,360 Prairie Vale RD Prairiewood 2176 NSW Australia,0,Major Cities,208,M,Medium public acute,Yes,Yes,Yes,Yes,B1,Large Major cities,LG
19,NSW,Liverpool,21,1171D2090,,N,19,Hospital,0010200X,Lot 2 Elizabeth ST,Liverpool 2170,-33.920338,150.925287,Australia,Lot 2 Elizabeth ST Liverpool 2170 NSW Australia,0,Major Cities,738.6,PR,Principal referral,Yes,Yes,Yes,Yes,A1,Principal referral,PR
20,NSW,Campbelltown,21,1171D2150,,N,19,Hospital,0012750W,1 Therry RD,Campbelltown 2560,-34.079931,150.802561,Australia,1 Therry RD Campbelltown 2560 NSW Australia,0,Major Cities,334.7,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
21,NSW,Bankstown/ Lidcombe,19,1171D2270,,N,19,Hospital,0010040X,68 Eldridge RD,Bankstown 2200,-33.932171,151.020477,Australia,68 Eldridge RD Bankstown 2200 NSW Australia,0,Major Cities,392.5,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
22,NSW,Braeside,,1171D2280,,Y,19,Hospital,0012830W,340 Prairie Vale RD,Prairiewood 2176,-33.8605666,150.9018296,Australia,340 Prairie Vale RD Prairiewood 2176 NSW Australia,0,Major Cities,72,N1,Non-acute public-rehabilitation and GEM,Yes,No,No,No,E9,Other non-acute,SP
23,NSW,Bowral,23,1171N2190,,N,19,Hospital,0010690H,Lot 3 Mona RD,Bowral 2576,-34.484995,150.424612,Australia,Lot 3 Mona RD Bowral 2576 NSW Australia,1,Inner Regional,70.8,M,Medium public acute,Yes,Yes,Yes,No,C1,Medium (group 1),LG
24,NSW,Sydney/ Sydney Eye,19,1172A2330,,N,19,Hospital,0010500H,8 Macquarie ST,Sydney 2000,-33.8672715,151.2123468,Australia,8 Macquarie ST Sydney 2000 NSW Australia,0,Major Cities,66.8,M,Medium public acute,Yes,Yes,Yes,No,C1,Medium (group 1),LG
25,NSW,Sydney Dental,,1172C1530,,Y,19,Hospital,,2 Chalmers ST,Surry Hills 2010,-33.88446,151.207794,Australia,2 Chalmers ST Surry Hills 2010 NSW Australia,0,Major Cities,0,O5,Unpeered,No,No,No,No,G,Un-peered and other,SP
26,NSW,Calvary,,1172C2020,,Y,19,Hospital,0012520J,91-101 Rocky Point RD,Kogarah 2217,-33.9750606,151.136519,Australia,91-101 Rocky Point RD Kogarah 2217 NSW Australia,0,Major Cities,106.3,N2,Non-acute public-mixed subacute and non-acute,Yes,No,No,No,G,Un-peered and other,SP
27,NSW,Gower Wilson (MPS),,1172C2050,,Y,19,Hospital,,1 Lagoon RD,Lord Howe Island 2898,,,Australia,1 Lagoon RD Lord Howe Island 2898 NSW Australia,4,Very remote,0.1,VS,Very small public,Yes,No,No,No,E9,Other non-acute,SM
28,NSW,Waverley War Memorial,,1172C2060,,Y,19,Hospital,0012590W,125 Birrell ST,Waverley 2024,-33.8964759,151.2534948,Australia,125 Birrell ST Waverley 2024 NSW Australia,0,Major Cities,35,N2,Non-acute public-mixed subacute and non-acute,Yes,No,No,No,E4,Rehabilitation,SP
29,NSW,Prince of Wales,20,1172C2080,,N,19,Hospital,0010260H,147 Barker ST,Randwick 2031,-33.919478,151.225835,Australia,147 Barker ST Randwick 2031 NSW Australia,0,Major Cities,512.7,PR,Principal referral,Yes,Yes,Yes,Yes,A1,Principal referral,PR
30,NSW,St George,24,1172C2130,,N,19,Hospital,0010410J,28 Gray ST,Kogarah 2017,-33.967789,151.133209,Australia,28 Gray ST Kogarah 2017 NSW Australia,0,Major Cities,605.7,PR,Principal referral,Yes,Yes,Yes,Yes,A1,Principal referral,PR
31,NSW,Sutherland,25,1172C2140,,N,19,Hospital,0010480W,430 Kingsway,Caringbah 2229,-34.0367797,151.1167383,Australia,430 Kingsway Caringbah 2229 NSW Australia,0,Major Cities,318.8,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
32,NSW,Royal For Women,,1172C2200,,Y,19,Hospital,0010070L,Barker ST,Randwick 2031,-33.919478,151.225835,Australia,Barker ST Randwick 2031 NSW Australia,0,Major Cities,122.2,W1,Womens,Yes,No,Yes,Yes,A2,Specialist womens and childrens,WC
33,NSW,Bulli,15,1173P2020,,N,19,Hospital,0010850H,33A Hospital RD,Bulli 2516,-34.33617,150.906448,Australia,33A Hospital RD Bulli 2516 NSW Australia,0,Major Cities,56.3,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,D2,Small non-acute,SM
34,NSW,Coledale,,1173P2030,,Y,19,Hospital,0010970Y,636 Lawrence Hargrave DR,Coledale 2515,-34.2840142,150.9512703,Australia,636 Lawrence Hargrave DR Coledale 2515 NSW Australia,0,Major Cities,38,N1,Non-acute public-rehabilitation and GEM,Yes,No,No,No,E9,Other non-acute,SP
35,NSW,Kiama,,1173P2040,,Y,19,Hospital,,1 Bonaira ST,Kiama 2533,-34.681911,150.849625,Australia,1 Bonaira ST Kiama 2533 NSW Australia,1,Inner Regional,20,N1,Non-acute public-rehabilitation and GEM,Yes,No,No,No,E9,Other non-acute,SP
36,NSW,Milton and Ulladulla,19,1173P2050,,N,19,Hospital,0011740F,104 Princes HWY,Milton 2538,-35.317242,150.438934,Australia,104 Princes HWY Milton 2538 NSW Australia,1,Inner Regional,25.3,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,C2,Medium (group 2),SM
37,NSW,Port Kembla,,1173P2060,,Y,19,Hospital,0012480A,89-91 Cowper ST,Warrawong 2502,-34.4853512,150.8877049,Australia,89-91 Cowper ST Warrawong 2502 NSW Australia,0,Major Cities,56.2,N1,Non-acute public-rehabilitation and GEM,Yes,No,No,No,E4,Rehabilitation,SP
38,NSW,Shoalhaven Memorial,26,1173P2070,,N,19,Hospital,0012060Y,2 Shoalhaven ST,Nowra 2541,-34.8817447,150.5941701,Australia,2 Shoalhaven ST Nowra 2541 NSW Australia,1,Inner Regional,155.1,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
39,NSW,Wollongong,27,1173P2080,,N,19,Hospital,0012400W,348 Crown ST,Wollongong 2500,-34.42474,150.883499,Australia,348 Crown ST Wollongong 2500 NSW Australia,0,Major Cities,484.6,PR,Principal referral,Yes,Yes,Yes,Yes,A1,Principal referral,PR
40,NSW,Shellharbour,20,1173P2110,,N,19,Hospital,0010060T,15-17 Madigan BVD,Mount Warrigal 2528,-34.557991,150.842468,Australia,15-17 Madigan BVD Mount Warrigal 2528 NSW Australia,0,Major Cities,165.5,M,Medium public acute,Yes,Yes,Yes,Yes,B1,Large Major cities,LG
41,NSW,Illawarra Mental Health Services,,1173P2170,,Y,19,Hospital,,15-17 Madigan BVD,Shellharbour Square 2529,-34.557991,150.842468,Australia,15-17 Madigan BVD Shellharbour Square 2529 NSW Australia,0,Major Cities,0,O5,Unpeered,No,No,No,No,G,Un-peered and other,SP
42,NSW,David Berry,,1173P2910,,Y,19,Hospital,0011130J,85 Tannery RD,Berry 2535,-34.776091,150.709671,Australia,85 Tannery RD Berry 2535 NSW Australia,1,Inner Regional,26,N1,Non-acute public-rehabilitation and GEM,Yes,No,No,No,E9,Other non-acute,SP
43,NSW,Auburn,22,1174D2010,,N,19,Hospital,0010020A,18-20 Hargrave RD,Auburn 2144,-33.860931,151.032578,Australia,18-20 Hargrave RD Auburn 2144 NSW Australia,0,Major Cities,123.9,M,Medium public acute,Yes,Yes,Yes,Yes,B1,Large Major cities,LG
44,NSW,Blacktown,19,1174D2030,,N,19,Hospital,0012490Y,44 Blacktown RD,Blacktown 2148,-33.778217,150.920017,Australia,44 Blacktown RD Blacktown 2148 NSW Australia,0,Major Cities,336.8,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
45,NSW,Mount Druitt,31,1174D2180,,N,19,Hospital,0012780K,75 Railway ST,Mount Druitt 2770,-33.7651472,150.8313111,Australia,75 Railway ST Mount Druitt 2770 NSW Australia,0,Major Cities,133.5,M,Medium public acute,Yes,Yes,Yes,No,B1,Large Major cities,LG
46,NSW,Westmead,25,1174D2240,,N,19,Hospital,0012760T,166 Darcy RD,Westmead 2145,-33.803524,150.978219,Australia,166 Darcy RD Westmead 2145 NSW Australia,0,Major Cities,788.3,PR,Principal referral,Yes,Yes,Yes,Yes,A1,Principal referral,PR
47,NSW,Blue Mountains,21,1175D2040,,N,19,Hospital,0010730T,Lot 3 Woodlands RD,Katoomba 2780,-33.704419,150.320766,Australia,Lot 3 Woodlands RD Katoomba 2780 NSW Australia,0,Major Cities,92.9,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,C2,Medium (group 2),SM
48,NSW,Nepean,16,1175D2100,,N,19,Hospital,0011860X,256 Derby ST,Kingswood 2747,-33.760807,150.711684,Australia,256 Derby ST Kingswood 2747 NSW Australia,0,Major Cities,522,PR,Principal referral,Yes,Yes,Yes,Yes,A1,Principal referral,PR
49,NSW,Springwood,,1175D2140,,Y,19,Hospital,0012730Y,7-9 Huntley Grange RD,Springwood 2777,-33.690472,150.570847,Australia,7-9 Huntley Grange RD Springwood 2777 NSW Australia,0,Major Cities,29.2,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,No,D2,Small non-acute,SM
50,NSW,Hawkesbury,17,1175D2290,,N,19,Hospital,0017140B,Cnr Macquarie and Day St,Windsor 2756,-33.611009,150.817898,Australia,Cnr Macquarie and Day St Windsor 2756 NSW Australia,0,Major Cities,97,M,Medium public acute,Yes,Yes,Yes,Yes,B1,Large Major cities,LG
51,NSW,Tresillian Wentworth,,1175D2300,,Y,19,Hospital,,1b Barber AV,Kingswood 2747,-33.75795,150.713226,Australia,1b Barber AV Kingswood 2747 NSW Australia,0,Major Cities,35.5,O1,Early parenting centres,Yes,No,No,No,E5,Mothercraft,WC
52,NSW,Wentworth Psychiatric Services,,1175D2320,,Y,19,Hospital,,Nepean Hospital,Penrith 2750,-33.75208,150.678025,Australia,Nepean Hospital Penrith 2750 NSW Australia,0,Major Cities,11,O5,Unpeered,No,No,No,No,G,Un-peered and other,SP
53,NSW,Lithgow,9,1175L2130,,N,19,Hospital,0011600W,2 Col Drewe DR,Lithgow 2790,-33.49873,150.12738,Australia,2 Col Drewe DR Lithgow 2790 NSW Australia,1,Inner Regional,36.6,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,C2,Medium (group 2),SM
54,NSW,Portland,,1175L2200,,Y,19,Hospital,0011960T,20 Green ST,Portland 2847,-33.357684,149.9793327,Australia,20 Green ST Portland 2847 NSW Australia,1,Inner Regional,4,VS,Very small public,Yes,No,No,No,G,Un-peered and other,SM
55,NSW,Greenwich,,1176B2080,,Y,19,Hospital,0012510K,97-115 River RD,Greenwich 2065,-33.827759,151.184387,Australia,97-115 River RD Greenwich 2065 NSW Australia,0,Major Cities,78.8,N1,Non-acute public-rehabilitation and GEM,Yes,No,No,No,E9,Other non-acute,SP
56,NSW,Neringah,,1176B2090,,Y,19,Hospital,0010130W,4-12 Neringah AV,Wahroonga South 2076,,,Australia,4-12 Neringah AV Wahroonga South 2076 NSW Australia,0,Major Cities,19,N1,Non-acute public-rehabilitation and GEM,Yes,No,No,No,G,Un-peered and other,SP
57,NSW,Hornsby and Ku-Ring-Gai,13,1176B2100,,N,19,Hospital,0010140T,36-76 Palmerston RD,Hornsby 2077,-33.70163,151.112732,Australia,36-76 Palmerston RD Hornsby 2077 NSW Australia,0,Major Cities,252.7,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
58,NSW,Manly,14,1176B2120,,N,19,Hospital,0010220T,150 Darley RD,Manly 2095,-33.80278,151.289677,Australia,150 Darley RD Manly 2095 NSW Australia,0,Major Cities,155,L,Large public acute,Yes,Yes,Yes,Yes,B1,Large Major cities,LG
59,NSW,Mona Vale,15,1176B2140,,N,19,Hospital,0012470B,18 Coronation ST,Mona Vale 2103,-33.6861232,151.3078254,Australia,18 Coronation ST Mona Vale 2103 NSW Australia,0,Major Cities,162.4,L,Large public acute,Yes,Yes,Yes,Yes,B1,Large Major cities,LG
60,NSW,Royal North Shore,21,1176B2180,,N,19,Hospital,0010310L,1 Reserve RD,St Leonards 2065,-33.8139905,151.1854793,Australia,1 Reserve RD St Leonards 2065 NSW Australia,0,Major Cities,657.6,PR,Principal referral,Yes,Yes,Yes,Yes,A1,Principal referral,PR
61,NSW,Royal Rehabilitation,,1176B2210,,Y,19,Hospital,0012600J,227 Morrison RD,Ryde 2112,-33.8227811,151.1075736,Australia,227 Morrison RD Ryde 2112 NSW Australia,0,Major Cities,100,N2,Non-acute public-mixed subacute and non-acute,Yes,No,No,No,E4,Rehabilitation,SP
62,NSW,Ryde,14,1176B2240,,N,19,Hospital,0010390X,1 Denistone RD,Eastwood 2122,-33.796211,151.090103,Australia,1 Denistone RD Eastwood 2122 NSW Australia,0,Major Cities,142.1,M,Medium public acute,Yes,Yes,Yes,Yes,B1,Large Major cities,LG
63,NSW,Gosford,27,1177B2020,,N,19,Hospital,0011270X,76 Holden ST,Gosford 2250,-33.421392,151.340527,Australia,76 Holden ST Gosford 2250 NSW Australia,0,Major Cities,478.3,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
64,NSW,Woy Woy,,1177B2030,,Y,19,Hospital,0012650Y,7 Kathleen ST,Woy Woy 2256,-33.496429,151.322037,Australia,7 Kathleen ST Woy Woy 2256 NSW Australia,0,Major Cities,24.2,N1,Non-acute public-rehabilitation and GEM,Yes,No,No,No,G,Un-peered and other,SP
65,NSW,Long Jetty,,1177B2040,,Y,19,Hospital,0012680T,Wyong Road,Long Jetty 2261,-33.368132,151.468677,Australia,Wyong Road Long Jetty 2261 NSW Australia,0,Major Cities,12,N1,Non-acute public-rehabilitation and GEM,Yes,No,No,No,G,Un-peered and other,SP
66,NSW,Wyong,22,1177B2060,,N,19,Hospital,0012770L,Pacific HWY,Kanwal 2259,-33.260397,151.484401,Australia,Pacific HWY Kanwal 2259 NSW Australia,0,Major Cities,320.7,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
67,NSW,Armidale,19,1180J2010,,N,19,Hospital,0010570T,226 Rusden ST,Armidale 2350,-30.512011,151.654617,Australia,226 Rusden ST Armidale 2350 NSW Australia,1,Inner Regional,91.9,M,Medium public acute,Yes,Yes,Yes,No,C1,Medium (group 1),LG
68,NSW,Barraba (MPS),,1180J2020,,Y,19,Hospital,0010620Y,1 Edward ST,Barraba 2347,-30.382593,150.610326,Australia,1 Edward ST Barraba 2347 NSW Australia,2,Outer Regional,22,S2,Other small public acute,Yes,Yes,No,No,D1,Small regional acute,SM
69,NSW,Bingara (MPS),,1180J2030,,Y,19,Hospital,0010710X,1 Keera ST,Bingara 2404,-29.86775,150.562134,Australia,1 Keera ST Bingara 2404 NSW Australia,2,Outer Regional,7,S2,Other small public acute,Yes,Yes,No,No,D1,Small regional acute,SM
70,NSW,Boggabri (MPS),,1180J2040,,Y,19,Hospital,0010740L,3 Wee Waa ST,Boggabri 2382,-30.71129,150.040283,Australia,3 Wee Waa ST Boggabri 2382 NSW Australia,2,Outer Regional,19.9,VS,Very small public,Yes,Yes,No,No,G,Un-peered and other,SM
71,NSW,Glen Innes,,1180J2050,,Y,19,Hospital,0011240B,94 Taylor ST,Glen Innes 2370,-29.7326007,151.7318961,Australia,94 Taylor ST Glen Innes 2370 NSW Australia,2,Outer Regional,35.5,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,D1,Small regional acute,SM
72,NSW,Gunnedah,17,1180J2060,,N,19,Hospital,0011370T,2 Marquis ST,Gunnedah 2380,-30.983231,150.251465,Australia,2 Marquis ST Gunnedah 2380 NSW Australia,2,Outer Regional,33.9,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,D1,Small regional acute,SM
73,NSW,Guyra (MPS),,1180J2070,,Y,19,Hospital,0011380L,44-48 Sole ST,Guyra 2365,-30.212311,151.679092,Australia,44-48 Sole ST Guyra 2365 NSW Australia,2,Outer Regional,22,S2,Other small public acute,Yes,Yes,No,No,E9,Other non-acute,SM
74,NSW,Inverell,18,1180J2080,,N,19,Hospital,0011460L,41-61 Swanbrook RD,Inverell 2360,-29.7692863,151.1309494,Australia,41-61 Swanbrook RD Inverell 2360 NSW Australia,2,Outer Regional,33.8,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,C2,Medium (group 2),SM
75,NSW,Manilla (MPS),,1180J2110,,Y,19,Hospital,0011670B,143 Court ST,Manilla 2346,-30.748922,150.723384,Australia,143 Court ST Manilla 2346 NSW Australia,2,Outer Regional,12,S2,Other small public acute,Yes,Yes,No,No,D2,Small non-acute,SM
76,NSW,Moree,3,1180J2120,,N,19,Hospital,0011760A,35 Alice ST,Moree 2400,-29.471277,149.834864,Australia,35 Alice ST Moree 2400 NSW Australia,2,Outer Regional,39.9,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,C2,Medium (group 2),SM
77,NSW,Narrabri,8,1180J2130,,N,19,Hospital,0011830B,11 Cameron ST,Narrabri 2390,-30.326931,149.7785,Australia,11 Cameron ST Narrabri 2390 NSW Australia,2,Outer Regional,29.7,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,D1,Small regional acute,SM
78,NSW,Prince Albert Tenterfield,,1180J2140,,Y,19,Hospital,0011970L,1-5 Naas ST,Tenterfield 2372,-29.045521,152.017731,Australia,1-5 Naas ST Tenterfield 2372 NSW Australia,2,Outer Regional,18,S2,Other small public acute,Yes,Yes,No,No,D1,Small regional acute,SM
79,NSW,Quirindi,,1180J2150,,Y,19,Hospital,0011990J,42 Nowland ST,Quirindi 2343,-31.4998234,150.6767751,Australia,42 Nowland ST Quirindi 2343 NSW Australia,2,Outer Regional,20,S2,Other small public acute,Yes,Yes,No,No,D1,Small regional acute,SM
80,NSW,Tamworth,22,1180J2160,,N,19,Hospital,0012090T,31 Dean ST,North Tamworth 2340,-31.076974,150.92263,Australia,31 Dean ST North Tamworth 2340 NSW Australia,1,Inner Regional,246,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
81,NSW,Tingha (MPS),,1180J2170,,Y,19,Hospital,0012130A,1 Inverell RD,Tingha 2369,-29.78199,151.118332,Australia,1 Inverell RD Tingha 2369 NSW Australia,2,Outer Regional,0,OT,Outpatient hospital,No,Yes,No,No,G,Un-peered and other,SP
83,NSW,Walcha (MPS),,1180J2190,,Y,19,Hospital,0012270K,7 South ST,Walcha 2354,-30.98394,151.590485,Australia,7 South ST Walcha 2354 NSW Australia,2,Outer Regional,9,S2,Other small public acute,Yes,Yes,No,No,D1,Small regional acute,SM
84,NSW,Warialda (MPS),,1180J2200,,Y,19,Hospital,0012300Y,146 Long ST,Warialda 2402,-29.53833,150.579147,Australia,146 Long ST Warialda 2402 NSW Australia,2,Outer Regional,10.8,S2,Other small public acute,Yes,Yes,No,No,D1,Small regional acute,SM
85,NSW,Wee Waa,,1180J2210,,Y,19,Hospital,0012330T,60 Alma ST,Wee Waa 2388,-30.2247012,149.4483101,Australia,60 Alma ST Wee Waa 2388 NSW Australia,2,Outer Regional,14,S2,Other small public acute,Yes,Yes,No,No,D1,Small regional acute,SM
86,NSW,Werris Creek,,1180J2220,,Y,19,Hospital,0012370H,22-34 North ST,Werris Creek 2341,-31.346479,150.652512,Australia,22-34 North ST Werris Creek 2341 NSW Australia,1,Inner Regional,13.6,VS,Very small public,Yes,Yes,No,No,G,Un-peered and other,SM
87,NSW,Bulahdelah - Myall Lakes,,1180J2230,,Y,19,Hospital,0010840J,1 Richmond ST,Bulahdelah 2423,-32.4042454,152.2124386,Australia,1 Richmond ST Bulahdelah 2423 NSW Australia,1,Inner Regional,0,VS,Very small public,No,Yes,No,No,G,Un-peered and other,SM
88,NSW,Gloucester,,1180J2240,,Y,19,Hospital,0011250A,166 Church ST,Gloucester 2422,-32.0154232,151.9578019,Australia,166 Church ST Gloucester 2422 NSW Australia,1,Inner Regional,19.5,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,D1,Small regional acute,SM
89,NSW,Manning,26,1180J2250,,N,19,Hospital,0011680A,26 York ST,Taree 2430,-31.910299,152.454941,Australia,26 York ST Taree 2430 NSW Australia,1,Inner Regional,167.3,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
90,NSW,Wingham,,1180J2260,,Y,19,Hospital,0012610H,32 Bungay RD,Wingham 2429,-31.87731,152.366074,Australia,32 Bungay RD Wingham 2429 NSW Australia,1,Inner Regional,32,N2,Non-acute public-mixed subacute and non-acute,Yes,No,No,No,E4,Rehabilitation,SP
91,NSW,Cessnock,28,1180Q2020,,N,19,Hospital,0010940F,Lot 1 View ST,Cessnock 2325,-32.827461,151.351593,Australia,Lot 1 View ST Cessnock 2325 NSW Australia,1,Inner Regional,50,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,C2,Medium (group 2),SM
92,NSW,Dungog,,1180Q2030,,Y,19,Hospital,0011190X,58 Hospital RD,Dungog 2420,-32.401371,151.745773,Australia,58 Hospital RD Dungog 2420 NSW Australia,1,Inner Regional,15,S2,Other small public acute,Yes,Yes,No,No,D1,Small regional acute,SM
93,NSW,Kurri Kurri,12,1180Q2050,,N,19,Hospital,0011540L,432 Lang ST,Kurri Kurri 2327,-32.8239861,151.4627599,Australia,432 Lang ST Kurri Kurri 2327 NSW Australia,0,Major Cities,42.3,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,D2,Small non-acute,SM
94,NSW,Maitland,32,1180Q2060,,N,19,Hospital,0011650H,550 High ST,Maitland 2320,-32.7276929,151.545969,Australia,550 High ST Maitland 2320 NSW Australia,0,Major Cities,194,M,Medium public acute,Yes,Yes,Yes,Yes,B1,Large Major cities,LG
